"MAHATTAN - Bar and Restaurant"
"Bill Report - From:2009-05-01   To2009-05-28"

SRNO.,"BILL NUMBER",DATE,"ITEM NAME",QUANTITY,"COST(per item)","SUB TOTAL(Rs.)",DISCOUNT(%),TAX(%),TOTAL(Rs.)
80,43,2009-05-07,wine,3,496,596,5,3,583.186
81,43,2009-05-07,sample,1,100,596,5,3,583.186
82,44,2009-05-07,wine,3,496,596,5,3,583.186
83,44,2009-05-07,sample,1,100,596,5,3,583.186
84,45,2009-05-07,wine,3,496,596,5,3,583.186
85,45,2009-05-07,sample,1,100,596,5,3,583.186
86,46,2009-05-07,wine,3,496,596,5,3,583.186
87,46,2009-05-07,sample,1,100,596,5,3,583.186
88,47,2009-05-07,wine,3,496,596,5,3,583.186
89,47,2009-05-07,sample,1,100,596,5,3,583.186
90,48,2009-05-07,wine,3,496,596,5,3,583.186
91,48,2009-05-07,sample,1,100,596,5,3,583.186
92,49,2009-05-07,wine,3,496,596,5,3,583.186
93,49,2009-05-07,sample,1,100,596,5,3,583.186
94,50,2009-05-07,wine,3,496,596,5,3,583.186
95,50,2009-05-07,sample,1,100,596,5,3,583.186
96,51,2009-05-07,wine,3,496,596,5,3,583.186
97,51,2009-05-07,sample,1,100,596,5,3,583.186
98,52,2009-05-07,wine,3,496,596,5,3,583.186
99,52,2009-05-07,sample,1,100,596,5,3,583.186
100,53,2009-05-07,wine,3,496,596,5,3,583.186
101,53,2009-05-07,sample,1,100,596,5,3,583.186
102,54,2009-05-07,wine,3,496,596,5,3,583.186
103,54,2009-05-07,sample,1,100,596,5,3,583.186
104,55,2009-05-07,wine,3,496,596,5,3,583.186
105,55,2009-05-07,sample,1,100,596,5,3,583.186
106,56,2009-05-07,wine,3,496,596,5,3,583.186
107,56,2009-05-07,sample,1,100,596,5,3,583.186
108,57,2009-05-07,wine,3,496,596,5,3,583.186
109,57,2009-05-07,sample,1,100,596,5,3,583.186
110,58,2009-05-07,wine,3,496,596,5,3,583.186
111,58,2009-05-07,sample,1,100,596,5,3,583.186
112,59,2009-05-07,wine,3,496,596,5,3,583.186
113,59,2009-05-07,sample,1,100,596,5,3,583.186
114,60,2009-05-07,wine,3,496,596,5,3,583.186
115,60,2009-05-07,sample,1,100,596,5,3,583.186
116,61,2009-05-07,wine,3,496,596,5,3,583.186
117,61,2009-05-07,sample,1,100,596,5,3,583.186
118,62,2009-05-07,wine,3,496,596,5,3,583.186
119,62,2009-05-07,sample,1,100,596,5,3,583.186
120,63,2009-05-07,wine,3,496,596,5,3,583.186
121,63,2009-05-07,sample,1,100,596,5,3,583.186
122,64,2009-05-07,wine,3,496,596,5,3,583.186
123,64,2009-05-07,sample,1,100,596,5,3,583.186
124,65,2009-05-07,wine,3,496,596,5,3,583.186
125,65,2009-05-07,sample,1,100,596,5,3,583.186
126,66,2009-05-07,wine,3,496,596,5,3,583.186
127,66,2009-05-07,sample,1,100,596,5,3,583.186
128,67,2009-05-07,wine,3,496,596,5,3,583.186
129,67,2009-05-07,sample,1,100,596,5,3,583.186
130,68,2009-05-07,wine,3,496,596,5,3,583.186
131,68,2009-05-07,sample,1,100,596,5,3,583.186
132,69,2009-05-07,wine,3,496,596,5,3,583.186
133,69,2009-05-07,sample,1,100,596,5,3,583.186
134,70,2009-05-15,sample,2,200,200,1,1,199.98
135,71,2009-05-15,sample,2,200,200,1,1,199.98
136,72,2009-05-15,sample,2,200,200,1,1,199.98
137,73,2009-05-15,sample,1,100,100,4,4,99.84
138,74,2009-05-15,sample,1,100,100,2,4,101.92
139,75,2009-05-15,sample,1,100,100,5,5,99.75
140,76,2009-05-15,sample,1,100,100,5,5,99.75
141,77,2009-05-15,,1,0,0,0,0,0
142,78,2009-05-15,sample,2,200,200,0,0,200
143,79,2009-05-15,sample,2,200,200,5,5,199.5
144,80,2009-05-15,sample,2,200,200,5,5,199.5
145,81,2009-05-15,sample,2,200,200,5,5,199.5
146,82,2009-05-15,chocolate,4,800,800,7,7,796.08
147,83,2009-05-15,chocolate,4,800,800,7,7,796.08
148,84,2009-05-15,chocolate,4,800,800,7,7,796.08
149,85,2009-05-15,chocolate,4,800,800,7,7,796.08
150,86,2009-05-15,chocolate,4,800,800,7,7,796.08
151,87,2009-05-15,chocolate,4,800,800,7,7,796.08
152,88,2009-05-15,sample,2,200,200,0,0,200
153,89,2009-05-15,wine,1,124,924,0,0,924
154,89,2009-05-15,chocolate,4,800,924,0,0,924
155,90,2009-05-16,wine,1,124,924,0,0,924
156,90,2009-05-16,chocolate,4,800,924,0,0,924
157,91,2009-05-16,sample,2,200,200,4,4,199.68
158,92,2009-05-16,wine,1,124,924,0,0,924
159,92,2009-05-16,chocolate,4,800,924,0,0,924
160,93,2009-05-16,wine,1,124,924,0,0,924
161,93,2009-05-16,chocolate,4,800,924,0,0,924
162,94,2009-05-16,wine,1,124,924,0,0,924
163,94,2009-05-16,chocolate,4,800,924,0,0,924
164,95,2009-05-16,wine,1,124,924,0,0,924
165,95,2009-05-16,chocolate,4,800,924,0,0,924
166,96,2009-05-16,wine,1,124,924,0,0,924
167,96,2009-05-16,chocolate,4,800,924,0,0,924
168,97,2009-05-16,sample,2,200,200,0,0,200
169,98,2009-05-16,sample,2,200,200,0,0,200
170,99,2009-05-16,sample,2,200,200,0,0,200
171,100,2009-05-16,sample,2,200,200,3,3,199.82
172,101,2009-05-16,sample,2,200,200,3,3,199.82
173,102,2009-05-16,sample,2,200,200,3,3,199.82
174,103,2009-05-16,sample,2,200,200,3,3,199.82
175,104,2009-05-16,sample,2,200,200,3,3,199.82
176,105,2009-05-16,sample,2,200,200,3,3,199.82
177,106,2009-05-16,sample,2,200,200,3,3,199.82
178,107,2009-05-16,sample,2,200,200,3,3,199.82
179,108,2009-05-16,sample,2,200,200,3,3,199.82
180,109,2009-05-16,sample,2,200,200,3,3,199.82
181,110,2009-05-26,wine,1,124,556,0,0,556
182,110,2009-05-26,"chicken kabab",36,432,556,0,0,556
183,111,2009-05-26,wine,1,124,556,0,0,556
184,111,2009-05-26,"chicken kabab",36,432,556,0,0,556
185,112,2009-05-26,wine,1,124,556,0,0,556
186,112,2009-05-26,"chicken kabab",36,432,556,0,0,556
187,113,2009-05-26,wine,1,124,556,0,0,556
188,113,2009-05-26,"chicken kabab",36,432,556,0,0,556
189,114,2009-05-26,wine,1,124,556,0,0,556
190,114,2009-05-26,"chicken kabab",36,432,556,0,0,556
191,115,2009-05-26,wine,1,124,556,0,0,556
192,115,2009-05-26,"chicken kabab",36,432,556,0,0,556
193,116,2009-05-26,wine,1,124,556,0,0,556
194,116,2009-05-26,"chicken kabab",36,432,556,0,0,556
195,117,2009-05-26,wine,1,124,556,0,0,556
196,117,2009-05-26,"chicken kabab",36,432,556,0,0,556
197,118,2009-05-26,wine,1,124,556,0,0,556
198,118,2009-05-26,"chicken kabab",36,432,556,0,0,556
199,119,2009-05-26,wine,1,124,556,0,0,556
200,119,2009-05-26,"chicken kabab",36,432,556,0,0,556
201,120,2009-05-26,wine,1,124,556,10,0,500.4
202,120,2009-05-26,"chicken kabab",36,432,556,10,0,500.4
203,121,2009-05-26,wine,1,124,556,10,10,550.44
204,121,2009-05-26,"chicken kabab",36,432,556,10,10,550.44
205,122,2009-05-26,wine,1,124,556,10,10,550.44
206,122,2009-05-26,"chicken kabab",36,432,556,10,10,550.44
207,123,2009-05-26,wine,1,124,556,10,10,550.44
208,123,2009-05-26,"chicken kabab",36,432,556,10,10,550.44
209,124,2009-05-26,wine,1,124,556,10,10,550.44
210,124,2009-05-26,"chicken kabab",36,432,556,10,10,550.44
211,125,2009-05-26,sample,2,200,200,0,0,200

"Total Bills = 125"
"Total Amount = 97194.023"
"Total Items = 211"
